ID,Text,Class
37,"Ocasio-Cortez Trump enjoyed crowd saying, 'Send her back!'",0
38,"1. Send her back as a chant by the base, was clearly racist or at the very least xenophobic. 2. Nobody said that every conservative was supportive of that, and MANY of them have disavowed that. 3. ANSWER THE FUCKING QUESTION, YOU SAID IT, BACK IT UP OR RECANT!",0
39,Pres. Trump I was not particularly happy about the send her back chant - #OANN,0
40,"If that statement is true, then don't have Monday's show all about your article that you yourself put out into the universe.",0
41,"Mr President, we are with 100%; the Send her Back chant by North Carolina was correct. I applaud th",0
42,"I say that its still funny that thousands chant send her back and when a person says they told her to go back where she came from, you automatically assume hoax.",0
43,The send her back chant that Trump is claiming to disavow was *planned at the rally and *rehearsed *with the *crowd by *warm-up *act Lara Trump. Outed by Republican strategist Stuart Stevens tweet.,0
44,Well well .. She couldn't stand the heat in the kitchen so she did the right thing. Hell when I saw clips of that chant I saw lots of lips moving on send her back .,0
45,Chris Wallace Shuts Down Stephen Miller's Lie About Racist 'Send Her Back' Chants via,0
46,Talk about 1. the cutest ever 2. i cant understand them sometimes but ily to the moon and back 3. uhhh no comment? 4. u irritate my soul 5. - 6. u can be better 7. lil sis ily come back soon imy drop an emoji and I'll send you the questions,0
47,"Trump's racist 'go back' message is un-American, demoralizing and unlawful || By Cedric L. Alexander",0
48,"Trump distances himself from the Send her back chant he inspired. When asked why he didnt stop them, he said Well number one, I think I did. I started speaking very quickly. Fucking liar doesnt think anyone can count #13Seconds",0
49,We should listen to someone that curses online. Shouting send someone back makes them racist? You dont deal well with reality do you ?,0
50,Send her back is nothing new Racism and xenophobia are Trump's only political st,0
51,"This was a #pitiful interview. Pence should have been pressed to answer the question. Interviewer was silent. CBS 0, pence 1. CBS asked Mike Pence whether he wanted to tell Trump supporters not to use the racist chant send her back. via",0
52,"mijo, they would send you back too. They dont like that Ricans are American citizens. Were still others to them.",0
53,OBAMA IS ILHAN... ...ILHAN IS OBAMA... Reconcile Arab Spring Benghazi Biblical migration MN Somali settlement Congre,0
54,"Susan Collins has an opponent that I recommend that we all help as much as possible, follow her on Twittter, retweet her",0
55,His arm is so deep in colon that he gives us all the finger through Trump's eyeball. Dare to retweet. Adds a new meaning to #DumpTrump2020 Now THAT'S All In!,0
56,Repatriate is the correct word. But you are trying too hard. You are confusing the chant send her back with old saying ship them back referring to ships used by the Spanish Conquistadors who captured slaves from Africa &amp; used/distributed/sold them widely in the new world.,0
57,Michelle Obama Speaks Out After 'Send Her Back' Chants Diversity Makes AmericaGreat,0
58,Trump falsely claims he tried to stop send her back chant,0
59,"Is it possible that the send her back chants about anti-American Omar referred to sending her back to Minnesota? Trump's were to tell her (not send) her back and when she fixes what's wrong there, to come back and show us how to fix it",0
60,"Donald Trump defends rally crowd that chanted 'send her back,' calling them 'incredible patriots'",0
61,"As repulsive as their tweets are, they let us know who we're dealing with. &amp; his lie about MLK speech need to be on the record excusing send her back chants. So we can remind them of their cowardice , when chants turn to Get a rope-Get a rope",0
62,#TrumpNation #TrumpTrain #Trump2020 Fighting For Trump #Republicans #StopIllegalImmigration,0
63,"Lara, they chanted send her back just as they did lock her up and USA. They didnt need any orchestratin",0
64,its time to call out on his hate speech. He threatens sitting Congresswomen and those of color when encourages followers to chant send her back. Make no mistake. This is his strategy. You are complicit when you remain silent. #hatehasnohomeinsd,0
65,"BREAKING (probably) Trump so pumped with popularity of Send her back chant &amp; rise in polls, he moves from hugging flag to grabbing it by its pussy.",0
66,Somehow send them back not sounding too crazy to me watching that LOSER. Trump 2020 and maybe....Jr 2024!!!???,1
67,"The direction Trump is moving, encouraging, his supporters, is one of violence against those who do not support him. It is plain to me the President is inciting violence, physical violence. Send them back is a physical encouragement.#realDonaldTrump",1
68,Someone please answer WHY ? it was ok for Maxine Waters to tell people when they see Trump supporters gather a crowd &amp; shout them down! But when a small group of people are at a Political rally &amp; shout send her back this is the WORST EVER ? The difference ?,0
69,"Senator Thom Tillis didn't condemn last night's hateful chant -- instead, he tried to cover for the President. North Caroli",0
70,"Liz Cheney 'Send her back' chant 'inappropriate' but not about race, gender #lizLies",0
71,"bcare ful about ICE ,they love cheekos these days 2 send them back laredo mexico",1
72,Pence says both he and Trump are not pleased with the send her back chant that broke out at their last re-election rally.,0
73,This. This right here was the start of the send them back bullshit. should own her part in this.,1
74,"Three pastors in Greenvillle, NC grapple with the aftermath of Trumps rally, the send her back chants and what, if anythi",0
75,"Read the text Rick. Tell me which part of his rant was racist. After all the attacks she has made on the US &amp; Israel. Send her back was a response to all the hate she has towards USA. BTW,I live in MN, here are a few more interesting reads if you're interested in the truth.",0
76,Wow. Shocker Mike Pence Skips Chance To Strongly Rebuke 'Send Her Back' Chants,0
77,"REPUBLICAN STEPHEN MILLER IS A DISGUSTING LIAR, JUST LIKE MOST REPUBLICANS....Chris Wallace Shuts Down Stephen Miller's Lie About Racist 'Send Her Back' Chants",0
78,Ilhan Omar Is A Congresswoman &amp; An American She's NOT Going Anywhere &amp; It's Quite Sad That Trump Just Thrown His Own Supporters Under The Bus For Disavowing Them For Saying Send Her Back So Basically For The First Time He Apologized Ahead In 2020!!! #WelcomeHomeIlhan,0
79,Send Her Back &amp; Trumps Divisive 2020 Strategy - Between the Scenes | ... via,0
80,Trump Advisor Miller Has No Idea How to Separate Trumps Omar Criticism From the Presidents Own Complaints via,0
81,I just had to unfriend my uncle on fb. I posted that I love all friends and fam that support Trump but any of them who t,0
82,We must end hate. #ImpeachmentIsNotDead #ImpeachNow,0
83,"Agree 100%. So why should we give them any ammunition. Supporters chanting send her back gave the #NeverTrumpers, and the Liberal MSM a weeks worth of fodder to continue to call us racists. Lets not shoot ourselves in the foot.",0
84,"Would they have chanted Send her back to Representatives Jackie Speier? Kathy Castor? Tulsi Gabbard? Lori Trahan? Madeleine Dean? Chrissy Houlahan? Go back to where? Why do they believe these Representatives came FROM somewhere else? If it's not about RACE, then what????",0
85,"Trump is assailing the moral foundations of the multiracial democracy Americans have struggled to bring into existence since 1965, and unless Trumpism is defeated, that fragile project will fail.",0
86,Lara Trump lashes out after CNN host accuses her of 'lying' about rally crowd's Send her back! chant | Fox News #CNN is,0
87,Fox News Chris Wallace hammered top White House adviser Stephen Miller on Sunday after he claimed President Donald Trump made clear that he didnt condone his supporters racist send her back chants at his rally in North Carolina via,0
88,"Hope youre not one of those people who shout those unpatriotic, hateful chants like send her back speaking of shameful and disgraceful!",0
89,"Add Send her back is racist #HateHoax Hodgetwins ( 7/15/19, 821 PM President Trump tells Progressives to leave the country #AOC #Congresswomen #KAG2020",0
90,"Oh, instead of Duke he heard group, instead of send-her-back he heard re-cord-crowd, I get it. Papered right",0
91,"Mark Bratton, you were asking? Sen. Lindsey O. Graham (R.-S.C.), Trumps born-again true believer, said in his defense that a Somali refugee embracing Trump would...",0
92,trump rallies are rehearsed it figures how much money does those idiots receive trumps cheap bet they don't get a dam thing not even a honest thank you. trump said he tried to stop that chant send her back heres what he did nod yes &amp; paused then smiled amazing what idiots do LOL,0
93,Linebacker Michael Obama attacks Trump amid his 'send her back' comment propagandizing the failed mockingbird news nar,0
94,Must read author of How Fascism Works explains what we saw and heard in #Greenville #NC,0
95,"We taxpayers need to send these wonderful Canadians to that private islands of their choice ,,, and bring them back on Oct.22 nd ,,, it would be cheaper we would enjoying our summer. Come Oct 22 read results and start to moving from Ottawa to Ottawa I would come and help,,,",0
96,"telling them to go back was what made them chant send her back. Looking at the past and the chants that have happened at the cult rallies, its pretty safe to say they knew this became a rally cry",0
97,So what should citizens do when it becomes clear (as it now is) that the government is unable/unwilling to take the steps necessary to protect them from this menace?,0
98,Denial is the only rock left to try hide under. I call . Send her back chant was racist as hell.,0
99,"Trump stood at the podium last night for 13 seconds in silence while a crowd of his supporters shouted send her back at Rep. Ilhan Omar. Now, he's saying he thinks he told them to stop and that he felt a little bit badly about it.",0
100,"So the birther movement wasnt racist. And chanting send her back isnt racist. Nothing is racist in your world. Oh, except Obama.",0
101,Donald Trump's day so far - Retweets notorious racist Katie Hopkins - Admits he supports send her back chant - Trump,0
102,#TuckFrump Conservative suggests Trumps racist rhetoric will incite worse than send her back chants One shudders,0
103,"Is the Pres. racists? At a political rally we have the President of the USA inciting the people to chant,Send her back, about an American because she has different views. Every American should have grave concern that our Pres is condoning this behavior &amp; hatred",0
104,BC of whats going down&amp;ppl chantingSend her back atTrumps rally bet10-1 they try2use all this againstTRUMP claiming hes supporting&amp;encouraging racism at rallys&amp;try stop them. I know in our normal way of thinking sounds absolutely ridiculous but THEY HAVE BECOME RIDICULOUS,0
105,Trump crowd Send her back! RACISM! WHITE SUPREMACY! WE'VE BECOME NAZI GERMANY! Isrl We're killing Irnians! [ . . . crickets . . . ],0
106,Assuming he's telling the truth (and she seemed to believe he said it in her tearful post),0
107,"Trump enjoyed crowd saying, Send her back! - Ocasio-Cortez",0
108,"In reversal, Trump disavows criticism of chanting crowd is back to square one as Republican Party disappears in favor of #PartyofTrump send her back shouts resounded for 13 seconds as Trump made no attempt to interrupt them!",0
109,"Amazing how Donald Trump pretends he hates Immigrants, so he can obtain votes from right wing ext",0
110,I sympathize with the asylum seekers. my advice to them is to apply for asylum while staying in their own countries. That is,0
111,Your Daughter-in-Law fits right in with the family doesn't she? I understand she was,0
112,Wow. Please watch this! Send Her Back &amp; Trumps Divisive 2020 Strategy - Between the Scenes. via,0
113,Republicans press Pence for answers on 'send her back' chant,0
114,No one wants to send her back? Well thats false-news.,0
115,"Orange clown's job as US capitalism enriches 1%, deflect mass anger onto immigrants, people of color, women to split them from rest of working class. Divide and conquer - racist chanting - preserves capitalism. What Hitler, Mussolini did back then.",0
116,What #Americans Do Now Will Define Us Forever. #YourVoteMatters via,0
117,Trump There isnt a racist bone in my body. Also Trump Birtherism Also Trump sued by DOJ for racial discrimination,0
118,what they believe is any criticisms of the squad is somehow racist. Send her back could be racist but it depends on the content if the desire to send her back is simply based on here skin color that is racist but clearly its based on her ideas and words.,0
119,Trump wants to start a race war Ex-advisor alleges his campaign planned Send her Back chants Raw Story -,0
120,"What this incident showed, again, is that Trump thinks his supporters want to hear racist invective, and he is more than prepared to give it to them, writes",0
121,Lara Trump spoke before the President. Her job was to get the,0
122,Election interference is only bad if the Republicans do it. Understood. Join our private social network here,0
123,Go ahead Joy and spread some propaganda that Trump meant send everyone back who is not a white American citizen because we know it's all about her Criminal exploring activity an association with terrorists not what country or nationality or race she happens to be.,0
124,"2/ WATCH very carefully at 0013 in this video as the chant Send her back! swells in volume, Trump steps back from the mic and nods in affirmation. He visibly nods, then smirks in accord with crowd. said, he wasn't nodding. It's a lie.",0
125,Really!! You were basking in the hate spewed by the chant. After you started talking (in like 13 secs) you did not even remind the crowd that it was a hateful thing to say...why I wonder...because you wanted exactly that. You nor the crowd has any right to say 'send her back'.,0
126,I am just wondering if I am the only one hear a female-sounding voice first say the send her back chant. I hope the folks chanting that have been identified? ijs for the sake of public safety I would think,0
127,"20. Cela ne m'a pas plu. Je ne suis pas d'accord avec cela, a-t-il dit le lendemain propos des chants SEND HER BACK!. Trump a assur qu'il s'tait remis parler trs rapidement pour les interrompre. (On a vu sur la vido au-dessus qu'il n'en est rien.)",0
128,"I'll retweet that, Mr Stampy. That's what Hitler is. He tried to backtrack. Soon. He'll call the chant fake news and blame the dems. His mini Hitlers will believe it too. Even the ones chanting Send her back. That's how stupid they are. Every single one of them.",0
129,our president is inciting racial divisions. Why arent you speaking out? S,0
130,(MEGA THREAD) Crowds at the presidents rally responded to his attacks on Congresswoman Ilhan Omar by chanting Send her,0
131,Gutless creeps stay in their own country &amp; fight to make it better nothing but country shoppers no papers could be terrorist / murders rapist... Should give them a 3 shot warning Deport them back to where they come from or send into PNG hills let cannibal have them,0
132,Trump supporters new rallying cry Send her back! reverberates across nation fraught with racial tension - The Washington Post The potus should go back to who hed rather be with since he is serving them with loyalty and protection-Russia and Putin,0
133,"Another rally, another racist incident. is in her country. It's the people chanting 'send her back'--and the President presiding over them--who have no concept of American values.",0
134,"Mark Meadows who used Birtherism to secure his seat in the House, but is not a racist? S",0
135,"I saw u on TV in the Capital Hallway when reporters asked u abt trumps rally when his cult started chanting send her back, u lied 4 times 1. U said it was a small group to the side FACT it was nearly the whole auditorium 2. U said he moved on to make them....",0
136,"Not racist. Even if she was a white Christian woman from Connecticut, I would understand saying send her back.",0
137,"Trump Attacks Dems, Crowd Makes 'Send Her Back!' The New 'Lock Her Up!' ... via",0
138,Heres whats gonna happen. Trumps gonna do another rally. Trump will bring up Omar m/Tlaib and the crowd will chantsend her,0
139,September is coming! What are ways your congregation can be a blessing to teachers and students during the year ahead? #umc #MiFaith,0
140,Uh....uh....uh. All those ppl chanting send her back really thought 45 was going to stand with them. Dummies!,0
141,"So Laura Trump warmed the crowd up at Trump's rally, letting them know the night's chant would be send her back. What a gang of corrupt imbeciles. #GOP",0
142,"Hence his hate charged rallies and his basking in the crowd as they chant Lock her up &amp; Send her bacK They've found their pied piper of racism. #TrumpRacist Trump Is a Racist. If You Still Support Him, So Are You.",0
143,They can keep running but they cannot hide as we will smoke them out in 2020. Senate Republicans are avoiding what Trump does and says. via,0
144,Anyone still supporting him after his smug posturing over the send her back chants of his sycophantsisn't anyone I wa,0
145,REPO Lara #Trump lashes out after #CNN host accuses her of lying about rally crowds Send her back! chant,0
146,"Trump's racist words and the 'Send her back' cheers were shocking if you'd never accepted who he is, writes The president came to office with a consistent narrative of racial divisiveness and he never stopped.",0
147,This presdency is a SHIT SHOW from day one! are complacent bordering on Treasonous at best! We need to VOTE these republican OUT! #VoteBlueToSaveAmerica #VoteBlue2020 Cupp calls out R,0
148,"As an immigrant who was at one time illegal, married for a green card, and then brought your family over using chain migration, shouldn't you be upset by the Send her back chants? Why do you not try to Be Best!",0
149,Trumps Omar Comments and Our Eroding Sense of Citizenship,0
150,"If I wasn't available to talk to her 50 million times a day, she would send texts back to back, she would get pissed off &amp; then she would send messages that places called her to book me and they would do so very soon. None of these places have rebooked me yet. Why? Lies.",0
151,"Agree. Regardless of how despicable Rep. Omar's views are, we don't send back naturalized citizens -- we fight them with ideas, at the ballot box. #MAGA2020",0
152,'Send Her Back!' Trump Supporters at His N.C. Rally - The Atlantic // I read some of the comments from them and theyre all fucking boring. on the Trump train,0
153,"If our media could finally start covering Trump as the authoritarian he is do not parrot back his words, report Trump LIE",0
154,. Send out the quasi Jewish person who was been disowned by his own family to defend Bone Spurs is like send Himmler to defend Hitler. Good luck! Chris Wallace Shuts Down Stephen Miller's Lie About Racist 'Send Her Back' Chants via,0
155,Most of them are NOT criminals! &amp; magats try to dishonestly pin labels on them!,0
156,This very stable genius totally isn't a golddigger that married into the Trump family. Nope. No way. Not at all. Totally legit well-researched opinions. Always.,0
157,"Donate Dogecoin To Me!! DSVWAL8q8snMern8BnjPybLbEUCJdk8Ep2 Matt Christiansen #164 | 'Send Her Back,' Ilhan &amp; Her Brother, Erica Thomas Hoax Hate | Beauty &amp; the Beta",0
158,President Trump retweeted a right-wing British commentator who has drawn repeated condemnation over a long history of anti-Muslim remarks and for casting blame on a Jewish leader for provoking a synagogue shooting,0
159,"The rabid #MAGA maggots who shrieked send her back about #IlhanOmar because she supposedly hates Jews (which she doesnt), also hate Jews! These are the same folks who defend white supremacists chanting, Jews will not replace us! #TrumpIsARacist",0
160,"There is a really easy way to put it to rest it is called a blood test. Give me a break it is a BS story &amp; u know it. U don't like her politics fine don't like them. I don't like the president's but send her back, she is a citizen get over it.",0
161,in my opinion we should send all of the Muslims and Jews that support Israel back to the middle East and let them fight and kill each other,0
162,all i remember is a bunch of white supremacists screaming send her back about a US Citizen while you were bobbing your head to the rhythm and smiling you'll be in prison by 2020,0
163,The future leadership of the GOP will be in the hands of the Republican leader who will have the courage to stand up to Trump and racist communication. #MarcoRubio Mike Pence Skips Chance To Strongly Rebuke 'Send Her Back' Chants,0
164,it doesnt take a genius to put 2 and 2 together and come to that conclusion. If anything the send her back chants where he didnt stop them is a clear indication of racism.,0
165,"John Stonestreet and Warren Cole Smith wade into the tempest over President Trumps latest controversial tweets, in which",0
166,"Well then, you are detached from reality. You think a ten second send her back chant is worse than Antifa trying to firebomb a federal building while echoing AOC's concentration camp rhetoric? Really?",0
167,"Good news, everyone! Lara Trump lashes out after CNN host accuses her of 'lying' about rally crowd's Send her back! chant",0
168,The MAGA White crowd chanting send her back is deplorable. Being coached by your family and supporters i,0
169,U.S. soccer star Megan Rapinoe calls the Send her back! chant in Greenville NC on Wednesday night sad and disgusting a,0
170,"If you believe the Send her back! chant was spontaneous, you are naive. Watch the video. It starts immediately after Trumps comment about Ilhan. He pauses, knowing its coming.",0
171,Trump told them to leave. That means. Send her back. To the Jerry Springer crowd.,0
172,"Idiot people where chanting send her back on live tv first you said it was wrong at the oval office presss conference, then the next or two days later because hannity or whoever said to ( guess your thumb is two far up there buts to be your own person)",0
173,Santa Monica Goebbels using his #Judaism to launder the presidents #Racism.,0
174,"#Donald #News Donald Trump defends rally crowd that chanted send her back, calling them incredible patriots",0
175,NewsATW Geraldo Rivera says the president is the glue that holds our republic together Correspondent-at-large Geraldo Rivera addresses Trump supporters telling them that they diminished President Trump by chanting send her back at his North Carolina rally. ...,0
176,"Sean Hannity defends racist send her back chant at Trump rally, claims critics are ignoring context",0
177,Suffers from severe lack of spine. #GrowAPair #SendHerBack,0
178,I love the guy in the lavender shirt. The look on his face when people start chanting SEND HER BACK is priceless. He's like WTF AM I DOING HERE?,0
179,nothing to do. Late Night Skewers Trump Over Send Her Back Rally Chant,0
180,"To make matters worse, #racist, #misogynistic #donaldtrump and #laratrump completely exploited the good honest people of #Greenville #NorthCarolina by stirring them up and provoking them to say Send Her Back (on",0
181,"as you can see from this clip of my allowing them to chant send her back for 13 seconds uninterrupted while I smirked, I didn't like it!",0
182,As divisive and racist as the 'send her back' gambit -- aimed at Rep. Omar and chanted fervently by Trump supporters at a,0
183,Twice-Deported #IllegalAlien Charged With Three Murders Two Were Children,0
184,Exactly. And then people will start wearing t-shirts with the phrase and pro-Trump pundits will keep saying it's not racist and Trump will say it again and the media will give up and suddenly Send her back is normalized and our nation's moral standing drops a few more notches.,0
185,"Again trump was lying. Not only does he support the send her back chant, they literally practiced it w/ the crowd b4 trump spoke. A liar, con-artist, criminal &amp; a racist #RacistPresident #LiarInChief #trumpISARacist #TrumpIsACriminal",0
186,Send her back isnt any more like a football game chant than Grab them by the pussy is locker room talk. #Resist #RacistPresident #RacistGOP We made a deck of playing cards. Trump is the Ace of #KnowYourDeplorables,0
187,"I suggest, if youre an American read this, right wing left wing it doesnt matter read this",0
188,They said it couldnt happen again - but no-one was looking in the land of the free. Trump rally crowd chants 'send her b,0
189,"No, liberals dont say every white American is a racist, just Trump supporters who shout send her back, have no probl",0
190,"Hi! there is your unroll Thread by 1/ Days ago, from district made news by saying that the chants of Send Her Back are a very [] Enjoy )",0
191,Lara trump is a liar. She primed the crowd to chant the hate slogans in North Carolina. Send her back,0
192,I predict will be bought out in 5 years. Its Trump hate 24/7. 2 hours of about trump tweets an,0
193,Im sure its only a matter of time until we find out the send her back chants were perpetrated by paid liberal activists,0
194,"So, like, what do you listen to? Oh lately just Tucker Carlson deeptracks, clips of Robert Kagan getting pounded in debates, send her back house remixes, Gregorian chant and Stalin stuff on LibriVox. You. I like indie.",0
195,that video of people behind trump chanting send her back is so scary and gross wtf?? those colonizers acting like i wont pick them up and throw them back to europe,0
196,Many send you us a friend request and after we follow back they unfollow the people. I guess they like to think theyve arrived at the pinnacle of their Twitter career. Big egos. I block them when they do it to me.,0
197,Democrats are nothing but big babies as they won't attend an anniversary celebration just because of Trump How can anyo,0
198,"I mean, I guess you could ask Mike Pence. He was very unhappy with the send her back chant at Trumps rally. If its a perfectly fine sentiment, why would he be very unhappy with it?",0
199,"Send it back for one size smaller and then get your fits off. You just standing holy, hit them poses.",0
200,Miller is a war criminal. Chris Wallace presses Stephen Miller on 'send her back' chant at Trump rally -,0
201,"Really Just stop it! The never had any moral courage, if he did a little moral courage he never would have been VP. Pence is worse than 45. Mike Pence Skips Chance To Strongly Rebuke 'Send Her Back' Chants",0
202,I wonder if Kevin Williamson will change his mind if the evidence uncovered by the St Paul Tribune that Omars father was a High-ranking official in the genocidal regime in Somalia (ineligible for asylum) or that their relatives were not (so fraud),0
203,Send her back. Send her back. while the racist in chief looks on and lets them chant. The first openly racist,0
204,I have actually had a couple family members come around. The send her back chants were their breaking point. They don't see or read much news and basically shut their ears when I told them stuff. But this they saw and heard.,0
205,"You back up the old one yet? Dont wipe that shit until the new one good for sure lol.. and none them fuckers send anything from my email yet, theyll never get me",0
206,Even Fox says Trump is FOS - Wallace Shuts Down Stephen Miller's Lie About Racist 'Send Her Back' Chants -,0
207,You are not wrong. Anyone who thinks the send her back chants are not racist is racist. Anyone who supports tRump is,0
208,Mike Pence Skips Chance To Strongly Rebuke 'Send Her Back' Chants #FakeChristian,0
209,"Did Anyone really read this and other articles like it? Donald Trump defends rally crowd that chanted 'send her back,' calling them 'incredible patriots' via #whoisapatriot",0
210,"On review of the video, a crowd clearly chanted send her back, the president clearly tolerated the chant, the chant (contextually) was directed at a member of Congress, and the chant seems to have been unrelated to the rules of the Express lane at a #Publix #IStandWithTheTruth",0
211,"While I don't care much for the send her back chant (not racist persay but a chant showing dissatisfaction with policy, in my opinion); I do very much care about this",0
212,"During the Apollo days (1963-1972), the range of astronaut crew sizes was much narrower at 55-510. But where this auth",0
213,When the fuck machine is unsatisfied. Made in China Machelle Obama barely brags satisfied and Melania Flys off the handle.,0
214,"Didn't make it into my story today, but since I spoke to both and about the send her back chants at Trump's N.C. rally, I'll post them below for my KC followers ...",0
215,What do you mean? He did do something to stop them...he started speaking again very quickly. You know...about how much he hates Ilhan Omar...and how much they should all hate her. And how they should send her back.,0
216,"Just heard on Rush our president is going to disavow the ,Send Her Back chant at the Trump rally last night !The lef",0
217,It seems the new political strategy for the is to call out all their opponents as being unAmerican because theyre not white. It started with questioning Obamas birth cert. Mike Pence Skips Chance To Strongly Rebuke Send Her Back Chants,0
218,their all fake Christians and racist Mike Pence Skips Chance To Strongly Rebuke 'Send Her Back' Chants,0
219,"I have an idea. turning to face her Theres this thing.. I can send you back to.. before you did whatever you did, just do it correctly and he wont be pissed!",0
220,Megan Rapinoe rips Trump over 'send her back' chants 'Sad and disgusting and despicable' let's see megan does it pale to ur america hating behavior on the world stage shame on whiny lil spoiled megan get a life ur 15 min is long ovr,0
221,"This week we saw racists chanting send her back in NC. We can't let them win, but posting to social media is not enough. We need foot soldiers to knock doors &amp; make calls. Please sign-up to help flip #NC09 for the 1st time in 56 yrs",0
222,"There is no justifiable reason to vote for Demonrats. To agree with them on something, sure, but not to vote for them. The DNC has opened the gates of hell and unleashed demons spreading propaganda and lies. Send the demons back and shut the gates of Hell.",0
223,"please name one time you stood with POTUS? Crickets. Mitt Romney 'Send Her Back' Chants Were 'Offensive,' Bad for GOP",0
224,"ECU, site of send her back chants, tries again to distance itself from Trump rally",0
