ID,score_tag,agreement,subjectivity,confidence,irony,Happy,Fear,Sad,Bored,Angry,Excited,Class
30,NEU,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.0402114921,0.1894378255,0.21657387,0.1215469249,0.3680129061,0.0642169813,0
31,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1647970287,0.1871317772,0.1568787076,0.0468450659,0.2399471929,0.2044002277,0
32,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1140732763,0.1250462122,0.0920286347,0.3549409539,0.1172149547,0.1966959682,0
33,P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.0410617277,0.2270071132,0.2059082699,0.1704783418,0.2242475457,0.1312970017,0
34,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0889568557,0.1875625522,0.1949072439,0.0677699082,0.3062073522,0.154596088,0
35,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0495894222,0.1509547425,0.1553012668,0.128880754,0.3261682152,0.1891055991,0
36,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0618156633,0.1749744541,0.2529257137,0.1212757303,0.2452628108,0.1437456278,0
37,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1575914367,0.2120258826,0.1461824979,0.0667491442,0.21686242,0.2005886185,0
38,N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.0803990347,0.1730464202,0.1762055852,0.2613948138,0.1725352265,0.1364189196,0
39,N+,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.0767085947,0.1920057823,0.2653891208,0.0572439449,0.2898344036,0.1188181538,0
40,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1776297417,0.0734512383,0.0876977569,0.1564484176,0.120740796,0.3840320495,0
41,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.7429664548,0.0386458447,0.0134241015,0.0052490584,0.0243656993,0.1753488413,0
42,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0920341686,0.1421829188,0.1219588647,0.294419753,0.1624680016,0.1869362933,0
43,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.063467289,0.2551918034,0.2169683448,0.1104899108,0.1629316944,0.1909509576,0
44,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.1270489928,0.3029371712,0.1750406189,0.0344206455,0.1948468088,0.1657057628,0
45,N+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0568286764,0.178441183,0.1603844819,0.2225273958,0.2238174853,0.1580007777,0
46,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.4627045235,0.2383990052,0.0817521363,0.0326611847,0.0668402396,0.1176429107,0
47,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1123712734,0.1661028647,0.1526574327,0.1042290399,0.2863727703,0.178266619,0
48,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1738309314,0.2549060578,0.1893915323,0.0662604463,0.1102898932,0.2053211391,0
49,N,AGREEMENT,OBJECTIVE,89,NONIRONIC,0.0634214448,0.1609589082,0.2274315577,0.1290264279,0.3508335347,0.0683281267,0
50,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.1296136794,0.1144642722,0.082835397,0.2776916477,0.1962023497,0.199192654,0
51,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.0856109239,0.1877839934,0.2332571902,0.0830114232,0.2935043136,0.1168321558,0
52,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0769559286,0.1064718058,0.2505384796,0.0895460488,0.4064442002,0.0700435369,0
53,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1705787618,0.1672753543,0.2179797606,0.0445303703,0.1846332175,0.2150025354,0
54,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.4279813624,0.0972150657,0.0261626751,0.0,0.1239478095,0.3246930873,0
55,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1306947855,0.3443594356,0.1050874649,0.0604648187,0.1290228444,0.2303706507,0
56,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0770755493,0.2012677855,0.2135128043,0.2080947743,0.1977630277,0.1022860589,0
57,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1255188895,0.255580953,0.1196753141,0.1570826639,0.1362920683,0.2058501111,0
58,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0207938748,0.1604086674,0.1354926608,0.407263606,0.1599763094,0.1160648816,0
59,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.045948504,0.341520439,0.2319071822,0.0663245578,0.2084223731,0.1058769439,0
60,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1085129459,0.1416506688,0.1542997515,0.2650486728,0.153735547,0.1767524141,0
61,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0664402077,0.1252117444,0.1396984906,0.2580366609,0.3339389957,0.0766739008,0
62,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1812266025,0.0873997797,0.0559830197,0.0,0.2354279241,0.4399626741,0
63,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.083959725,0.1166175404,0.1813612257,0.0733667628,0.4436011057,0.1010936404,0
64,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.1462061529,0.1507744171,0.141840182,0.085068276,0.3104640873,0.1656468847,0
65,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1053894986,0.2676482505,0.1709791137,0.0576295213,0.1634999307,0.2348536851,0
66,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0720110568,0.3994737088,0.1894022508,0.0348954512,0.1570604091,0.1471571234,1
67,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.0927588005,0.1059514063,0.2533025799,0.0861293563,0.3265369562,0.1353209008,1
68,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0536670206,0.1682054204,0.2238776319,0.2149717453,0.2883039904,0.0509741914,0
69,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.1257778247,0.1642609389,0.1909064182,0.0681009314,0.2658578655,0.1850960213,0
70,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1415022913,0.1811774064,0.1166260557,0.1098578733,0.2932633436,0.1575730296,0
71,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1459516806,0.1509012191,0.2666387915,0.0734355111,0.2141789505,0.1488938473,1
72,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.0500908151,0.1791407205,0.2238350482,0.1363882415,0.3015506485,0.1089945262,0
73,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1920410497,0.0868316239,0.1133778835,0.1472532712,0.3490910411,0.1114051306,1
74,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1519545982,0.2563957352,0.1557638505,0.0747963149,0.143728694,0.2173608071,0
75,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0498048739,0.1016420062,0.1786160549,0.0387650515,0.5732992118,0.0578728018,0
76,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0502079533,0.3047537297,0.2148005937,0.0590035226,0.2761428466,0.0950913542,0
77,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0350660878,0.1267132873,0.1316461546,0.1330861638,0.5125719942,0.0609163123,0
78,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0467565099,0.1867545122,0.3409488637,0.1091810809,0.2392572784,0.0771017549,0
79,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1831126753,0.2408878509,0.1111408694,0.046005105,0.1178421918,0.3010113075,0
80,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.0566560778,0.216902427,0.2307589573,0.1968147252,0.1863076943,0.1125601185,0
81,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0436230247,0.1905174895,0.2521722066,0.1236902096,0.3196440169,0.0703530526,0
82,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1741721217,0.1127261992,0.2238966679,0.0,0.3248030266,0.1644019846,0
83,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.0837658841,0.1144530545,0.1671104722,0.0509247137,0.4956323175,0.0881135581,0
84,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0773965039,0.1622704868,0.2379250397,0.1073009551,0.3243063678,0.0908006466,0
85,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.0920546989,0.1712371821,0.2223057038,0.0742783804,0.2866765258,0.1534475091,0
86,N,AGREEMENT,OBJECTIVE,97,NONIRONIC,0.1314689135,0.2171688302,0.1388206271,0.0771610462,0.2627975431,0.1725830398,0
87,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0553876775,0.1793403751,0.1563378781,0.1975180944,0.3006662967,0.1107496782,0
88,P,AGREEMENT,SUBJECTIVE,82,IRONIC,0.0198008472,0.1197916109,0.0592479861,0.0336476627,0.7345671293,0.0329447639,0
89,N+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0773761065,0.11592471,0.1456439292,0.0679737444,0.437567642,0.1555138678,0
90,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1787129615,0.1353402956,0.1491899331,0.1255932426,0.2257957804,0.1853677868,0
91,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1713631895,0.168675279,0.1137484063,0.080159852,0.2117570726,0.2542962006,0
92,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.1080117492,0.1155627645,0.1398239572,0.132620656,0.4183890835,0.0855917896,0
93,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0585911435,0.2037967147,0.2013010315,0.1228550376,0.2799441336,0.1335119391,0
94,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1445943737,0.3191981671,0.1831029894,0.0664552378,0.0975207498,0.1891284823,0
95,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1950287759,0.1798540001,0.1656550792,0.0275746971,0.2455201425,0.1863673052,0
96,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1200038354,0.1998857095,0.1883698558,0.151094805,0.1869120626,0.1537337317,0
97,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0497367543,0.1618588332,0.2660731004,0.0905675989,0.3568328898,0.0749308235,0
98,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.106594939,0.1642047006,0.169893179,0.2165113591,0.1999830629,0.1428127594,0
99,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0724641239,0.1898145518,0.1652522821,0.1603050384,0.2685582977,0.1436057061,0
100,P+,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.0802582268,0.1447129908,0.2474967157,0.119376237,0.3104000428,0.0977557869,0
101,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1383559679,0.1797139596,0.1536179891,0.093540388,0.2238450929,0.2109266025,0
102,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0569877906,0.1981305555,0.1644314528,0.1072859817,0.3732983171,0.0998659024,0
103,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1109056304,0.2200539003,0.2037036422,0.0797805571,0.2206530848,0.1649031852,0
104,N+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.0461267556,0.1241801669,0.1473149087,0.2968268597,0.2431147527,0.1424365565,0
105,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0532544846,0.1118895629,0.1074371074,0.0219900978,0.5989749441,0.1064538032,0
106,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1104950752,0.2086089743,0.1458305424,0.2863615113,0.1360864978,0.1126173991,0
107,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1953059025,0.1807197602,0.1038495559,0.0438612214,0.2149271924,0.2613363677,0
108,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.0741010651,0.1592758872,0.1529333594,0.1071962637,0.384590247,0.1219031777,0
109,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1495309767,0.2124072745,0.1665281361,0.1133103257,0.1744824306,0.1837408565,0
110,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.181726298,0.2567287974,0.1875055076,0.0533308783,0.1328035337,0.1879049851,0
111,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.1864544924,0.1691747305,0.2281519388,0.0726918479,0.1817315884,0.161795402,0
112,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.2295956571,0.2166227901,0.1767446759,0.0317495752,0.1678025115,0.1774847902,0
113,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1223897368,0.1992968872,0.1471687457,0.100369261,0.1697891631,0.2609862062,0
114,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1049255301,0.1174757977,0.2384324162,0.1119002366,0.3650149459,0.0622510734,0
115,NEU,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.075816499,0.1010815006,0.1153340007,0.0628600609,0.5369905233,0.1079174155,0
116,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2937740002,0.0769201462,0.131388342,0.0365927373,0.1374418841,0.3238828901,0
117,P,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.1170220679,0.1395583684,0.1797783547,0.0665565045,0.3925771283,0.1045075763,0
118,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1234573366,0.1411277636,0.132981976,0.227295126,0.1815893821,0.1935484157,0
119,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0903610937,0.2167029298,0.1439960626,0.1001413637,0.2426275657,0.2061709844,0
120,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0345511993,0.179020424,0.2233828405,0.2038654054,0.3089614533,0.0502186775,0
121,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1135094274,0.1495936155,0.0890668535,0.2107965153,0.2237596973,0.213273891,0
122,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.2282876288,0.1822575636,0.102680902,0.0900794512,0.1466964416,0.2499980128,0
123,P+,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.1645115972,0.2068640565,0.1048917978,0.0662586988,0.2025678298,0.2549060198,0
124,P,DISAGREEMENT,OBJECTIVE,92,NONIRONIC,0.1839160074,0.2416585172,0.1053074156,0.0777212039,0.1959099085,0.1954869475,0
125,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0309425878,0.2280505797,0.1786643122,0.0407394746,0.4804786794,0.0411243662,0
126,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1555625502,0.33951137,0.2534251147,0.0319059583,0.0882711099,0.1313238969,0
127,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1824299563,0.1750388506,0.1879561514,0.0,0.3002029215,0.1543721203,0
128,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.108433853,0.1563735674,0.1985249682,0.1283155951,0.2577294733,0.150622543,0
129,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0533803032,0.1645634779,0.2468359028,0.132161948,0.3357779621,0.0672804061,0
130,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2052804966,0.1469311679,0.0643501726,0.0325031739,0.0573294186,0.4936055704,0
131,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0782613567,0.1828019046,0.1754560102,0.0850279765,0.3924630544,0.0859896976,0
132,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.0904907948,0.13124823,0.1293423519,0.0735942268,0.4213703648,0.1539540316,0
133,N+,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.0492461707,0.2683754799,0.2253701119,0.0907507412,0.3024202458,0.0638372504,0
134,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.0963365995,0.1816950245,0.1456503002,0.2157199947,0.2341381588,0.1264599222,0
135,P,DISAGREEMENT,OBJECTIVE,91,NONIRONIC,0.0725375903,0.1839283587,0.2218811115,0.138951964,0.249269643,0.1334313325,0
136,P+,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.1071553774,0.1318196507,0.1913041733,0.1369843999,0.3347209882,0.0980154106,0
137,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0963879464,0.2415728626,0.175088777,0.0647067986,0.3014408979,0.1208027176,0
138,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1364067433,0.2453628693,0.177960999,0.0809992244,0.1663021195,0.1929680445,0
139,P,AGREEMENT,OBJECTIVE,97,NONIRONIC,0.3285357972,0.1270162655,0.0201483136,0.0102488606,0.070025204,0.4440255592,0
140,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0318533579,0.2491366667,0.2060312357,0.0411563526,0.3986730598,0.0731493272,0
141,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.036625598,0.1453040215,0.1614093766,0.0698921701,0.4769951044,0.1097737295,0
142,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0387997988,0.1764377757,0.2106001469,0.0933003909,0.405142391,0.0757194968,0
143,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.089398405,0.1512399099,0.1945368056,0.1256782283,0.3346718537,0.1044747975,0
144,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1310614997,0.2068697282,0.1830087834,0.0842222448,0.2471469276,0.1476908164,0
145,N,AGREEMENT,OBJECTIVE,97,NONIRONIC,0.134209709,0.2342063171,0.1350540733,0.036968542,0.2771717526,0.1823896059,0
146,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.1746342754,0.1680888803,0.1168366723,0.1268423052,0.3048067979,0.1087910689,0
147,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0633830573,0.1515672624,0.1179482678,0.0420262818,0.5319493995,0.0931257312,0
148,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.0612381835,0.1954962602,0.1691740292,0.1957389112,0.3006625689,0.077690047,0
149,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1537277442,0.2347470665,0.1180119021,0.066517333,0.1015282465,0.3254677077,0
150,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.0380498729,0.1112139554,0.158292453,0.0787670991,0.5385538651,0.0751227546,0
151,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.1406133574,0.0785793825,0.0819056401,0.0378775002,0.5338945292,0.1271295905,0
152,N+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.0257869479,0.1257212525,0.1917910574,0.3574330708,0.25347345,0.0457942214,0
153,NEU,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.0658961835,0.1149612387,0.1073062475,0.2082588402,0.4272800814,0.0762974088,0
154,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.3015013913,0.2014638945,0.0978934389,0.058365355,0.1333189588,0.2074569615,0
155,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.0725378941,0.1194050774,0.1088781501,0.0604015972,0.5202052271,0.1185720541,0
156,P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.2104854928,0.1217306825,0.090651963,0.0987710979,0.2981503707,0.180210393,0
157,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.3712965698,0.1226700829,0.1377089827,0.0,0.0950970613,0.2732273033,0
158,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.0640012523,0.174190706,0.2045388347,0.200709728,0.2622223223,0.0943371567,0
159,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0322687007,0.1457753234,0.156006671,0.0366656491,0.5756378088,0.0536458469,0
160,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.0285368717,0.0990096472,0.1522239625,0.0995634609,0.5927989972,0.0278670604,0
161,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.174651685,0.0819590266,0.0493074433,0.058090768,0.3081976,0.3277934772,0
162,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2658434621,0.2163021017,0.1193152012,0.048925577,0.077293881,0.2723197771,0
163,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.1325439327,0.12084665,0.1049051668,0.0409653459,0.2262365199,0.3745023848,0
164,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1109875438,0.1678735433,0.1908532511,0.1473039614,0.2595397059,0.1234419945,0
165,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1480170981,0.3003789701,0.0980473957,0.1270366987,0.1055332686,0.2209865688,0
166,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0510111338,0.2179831142,0.241003756,0.1770322576,0.1898819653,0.1230877731,0
167,NEU,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.31525595,0.1801240129,0.0533952641,0.0330989066,0.1489580516,0.2691678148,0
168,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1848515556,0.2141008849,0.1956146466,0.0580494936,0.1158099043,0.2315735151,0
169,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0739985206,0.2617270446,0.3672463731,0.0445529236,0.173271502,0.0792036361,0
170,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1714689736,0.2321615258,0.1528457967,0.0534920375,0.2382485152,0.1517831512,0
171,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1424928598,0.1841578212,0.1405510038,0.09175668,0.1468607826,0.2941808525,0
172,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0272971889,0.1310724933,0.138976319,0.1996314524,0.4188842047,0.0841383417,0
173,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2319923916,0.1641998959,0.0985022327,0.0515009104,0.1349434793,0.3188610901,0
174,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.3026781161,0.0884207316,0.065738302,0.0928264642,0.1610830169,0.2892533692,0
175,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1590333923,0.1513832688,0.1581703535,0.0540903504,0.2609789635,0.2163436715,0
176,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0375670951,0.1174174847,0.1464821619,0.4087141781,0.2191060943,0.0707129859,0
177,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0721589261,0.2551932996,0.3286439956,0.0496842812,0.1751769667,0.119142531,0
178,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1254109138,0.3046777822,0.2736487827,0.029899704,0.0829046049,0.1834582123,0
179,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0702739777,0.1915186238,0.2570677522,0.1930411075,0.16040511,0.1276934288,0
180,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0843608331,0.1445750879,0.1935551016,0.0716953599,0.3856560516,0.1201575659,0
181,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.0330927434,0.1772772204,0.2297496433,0.0113107449,0.5116774357,0.0368922122,0
182,P,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.1333063221,0.1727904829,0.1320247059,0.1298379998,0.2666071035,0.1654333858,0
